y1,y2,y3,y4,fidelity,mse,parameters,,,,,,,,,,,,
0.18448353534095600,0.7714766023349080,0.23479722679758100,0.5618362212656400,0.986328125,0.046401887681210500,[ 0.7718485   1.5084723   1.88647053 -0.27074827],,,,,,,,,,,,
0.37884229079112100,0.46375521803740600,0.6335810725299780,0.48988227257472500,0.98828125,0.14418929174864700,[0.78374264 1.58505985 0.8318711  0.36748132],,,,,,,,,,,,
0.5432043799885800,0.5087152130051780,0.4224922955466740,0.5173375047510290,0.998046875,0.029631020127936400,[0.28506353 0.8963097  1.36367446 0.5500915 ],,,,,,,,,,,,
0.028474739872575000,0.7498348166444740,0.5600032174939740,0.35118845842842500,0.998046875,0.014912296867663200,[ 1.95607552  2.71150907 -0.04044937  0.42810042],,,,,,,,,,,,
0.343790851628475,0.30412267644057400,0.6148567154124650,0.6413021655377320,0.990234375,0.08932215379913700,[0.91349395 1.67065262 0.62562286 0.44358552],,,,,,,,,,,,
0.1151735437136500,0.35319886738852500,0.660328317291591,0.6526500810440150,0.998046875,0.05762804528225150,[1.0278811  2.05590115 0.6653445  0.56574247],,,,,,,,,,,,
0.0,0.7153987666044430,0.35393412663588200,0.6024410666142680,1.0,0.023960146398329400,[2.12614444 2.22612555 0.33601231 0.40064541],,,,,,,,,,,,
0.7096661947545750,0.07569772744048790,0.43526193278280600,0.5488085239435380,0.998046875,0.07435338397131700,[1.26596435 0.69612416 0.01625774 0.48342645],,,,,,,,,,,,
0.3954618655677540,0.4506425909958130,0.018393575142686300,0.800120518706852,1.0,0.04562942420930770,[1.87224695 0.83069199 0.56798077 0.01491799],,,,,,,,,,,,
0.6726450008752570,0.42125242479056500,0.5707290916517330,0.21062621239528200,0.994140625,0.02654480451987070,[-0.21117001  0.86295903  1.10780812  0.44165162],,,,,,,,,,,,
0.22528910513419700,0.4240736096643710,0.39756900906034700,0.7818857178186830,0.998046875,0.039860028073857200,[0.88190593 1.49616932 1.35062424 0.65922836],,,,,,,,,,,,
0.5432286750824410,0.5723302112475720,0.5917312353576590,0.1649087049357410,0.955078125,0.22504372222704800,[-0.42291647  1.2936601   1.53904811 -0.11585316],,,,,,,,,,,,
0.45725464463530900,0.26854637859534000,0.7185430129983420,0.44999663440300200,0.998046875,0.035453791712288300,[0.31221979 1.32813368 0.72923393 0.65413032],,,,,,,,,,,,
0.6334204545129840,0.3447731587855480,0.553240650144252,0.41693498271740700,0.99609375,0.05548381108327060,[0.18174898 0.94243269 0.88204577 0.60042745],,,,,,,,,,,,
